index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,Point 1_benchmark,-65.72141513,-44.796724,53.91236398,2019-11-11 19:24:01 UTC,2019-11-11 19:44:01 UTC,SINGLE,0.2734,6000,1.205
2,Pliocene_GCP1,-65.7281914,-44.78995135,50.8571295,2019-11-11 13:00:24 UTC,2019-11-11 13:02:24 UTC,SINGLE,0.1097,600,1.775
3,Pliocene_Point 2,-65.72813438,-44.78996322,49.62764167,2019-11-11 13:04:19 UTC,2019-11-11 13:06:19 UTC,SINGLE,0.1268,600,1.775
4,Pliocene_Point 3,-65.72809283,-44.7899819,48.80469333,2019-11-11 13:08:52 UTC,2019-11-11 13:10:52 UTC,SINGLE,0.0693,600,1.775
5,Pliocene_GCP2,-65.72810323,-44.78998,49.43357083,2019-11-11 13:11:40 UTC,2019-11-11 13:13:40 UTC,SINGLE,0.0734,600,1.775
6,Pliocene_Point 5,-65.72808256,-44.7899813,49.22342517,2019-11-11 13:15:36 UTC,2019-11-11 13:17:36 UTC,SINGLE,0.0943,600,1.775
7,Pliocene_GCP3,-65.72803996,-44.78999855,49.755954,2019-11-11 13:20:34 UTC,2019-11-11 13:22:34 UTC,SINGLE,0.1062,600,1.775
8,Pliocene_Point 7,-65.72800374,-44.78999739,50.12573617,2019-11-11 13:25:41 UTC,2019-11-11 13:27:41 UTC,SINGLE,0.0599,600,1.775
9,Pliocene_GCP4,-65.72796023,-44.79001819,48.85471883,2019-11-11 13:29:08 UTC,2019-11-11 13:31:08 UTC,SINGLE,0.1182,600,1.775
10,Pliocene_GCP5,-65.72793702,-44.79001547,48.89903617,2019-11-11 13:31:54 UTC,2019-11-11 13:33:54 UTC,SINGLE,0.1041,600,1.775
11,Pliocene_Point 10,-65.72790477,-44.79002076,49.23444367,2019-11-11 13:35:29 UTC,2019-11-11 13:37:29 UTC,SINGLE,0.0667,600,1.775
12,Pliocene_GCP6,-65.72787983,-44.79003708,48.92151033,2019-11-11 13:40:45 UTC,2019-11-11 13:42:45 UTC,SINGLE,0.0883,600,1.775
13,Pliocene_Point 12,-65.72782136,-44.79004325,46.74538617,2019-11-11 13:46:32 UTC,2019-11-11 13:48:32 UTC,SINGLE,0.171,600,1.775
14,Pliocene_GCP7,-65.72781458,-44.7900451,46.98591117,2019-11-11 13:49:38 UTC,2019-11-11 13:51:38 UTC,SINGLE,0.0662,600,1.775
15,Pliocene_GCP8,-65.72777477,-44.79005922,46.56576833,2019-11-11 13:52:59 UTC,2019-11-11 13:54:59 UTC,SINGLE,0.1047,600,1.775
16,Pliocene_GCP9,-65.72774584,-44.79005932,46.10221967,2019-11-11 13:56:19 UTC,2019-11-11 13:58:19 UTC,SINGLE,0.0893,600,1.775
17,Pliocene_Point 16,-65.72760719,-44.79008552,47.02457917,2019-11-11 14:13:36 UTC,2019-11-11 14:15:36 UTC,SINGLE,0.1122,600,1.775
18,Pliocene_Point 17,-65.72759431,-44.7900789,47.8415055,2019-11-11 14:17:08 UTC,2019-11-11 14:19:08 UTC,SINGLE,0.1523,600,1.775
19,Pliocene_Point 18,-65.72755674,-44.7900845,48.124424,2019-11-11 14:19:59 UTC,2019-11-11 14:22:00 UTC,SINGLE,0.0563,600,1.775
20,Pliocene_GCP13,-65.72761329,-44.79008053,47.94877433,2019-11-11 14:23:53 UTC,2019-11-11 14:25:53 UTC,SINGLE,0.111,600,1.775
21,Pliocene_GCP15,-65.72757701,-44.79007991,48.9437425,2019-11-11 14:26:56 UTC,2019-11-11 14:28:56 UTC,SINGLE,0.0789,600,1.775
22,Pliocene_GCP14,-65.72755352,-44.79008234,48.89044567,2019-11-11 14:29:53 UTC,2019-11-11 14:31:53 UTC,SINGLE,0.0932,600,1.775
23,Pliocene_Point 22,-65.7283073,-44.79935661,46.14331617,2019-11-11 15:05:10 UTC,2019-11-11 15:07:10 UTC,SINGLE,0.0632,600,1.775
24,MIS5_Point 1,-65.73387437,-44.80628116,22.08605717,2019-11-11 15:32:47 UTC,2019-11-11 15:34:48 UTC,SINGLE,0.1365,600,1.775
25,MIS5_Point 2,-65.73388857,-44.80639667,22.17862817,2019-11-11 15:37:12 UTC,2019-11-11 15:39:12 UTC,SINGLE,0.1106,600,1.775
26,MIS5_Point 3,-65.73390426,-44.80648638,22.80079783,2019-11-11 15:41:50 UTC,2019-11-11 15:43:50 UTC,SINGLE,0.0995,600,1.775
27,MIS5_Point 4,-65.73389705,-44.80645658,22.83683267,2019-11-11 15:45:39 UTC,2019-11-11 15:47:39 UTC,SINGLE,0.1757,600,1.775
28,MIS5_Point 5,-65.73392982,-44.80652453,22.43176617,2019-11-11 15:51:27 UTC,2019-11-11 15:53:27 UTC,SINGLE,0.0572,600,1.775
29,MIS5_Point 6,-65.73400047,-44.80656009,19.3015685,2019-11-11 15:56:20 UTC,2019-11-11 15:58:20 UTC,SINGLE,0.0577,600,1.775
30,MIS5_Point 7,-65.73401259,-44.80656552,19.138362,2019-11-11 16:01:37 UTC,2019-11-11 16:03:37 UTC,SINGLE,0.0718,600,1.775
31,MIS5_Point 8,-65.73390597,-44.80655798,24.52893,2019-11-11 16:06:21 UTC,2019-11-11 16:08:21 UTC,SINGLE,0.1357,600,1.775
32,Cemented_Point 1,-65.7345774,-44.80935162,22.473214,2019-11-11 17:59:08 UTC,2019-11-11 18:01:08 UTC,SINGLE,0.1017,600,1.775
33,South_Point 1,-65.73870927,-44.84217764,30.3297205,2019-11-11 18:30:32 UTC,2019-11-11 18:32:32 UTC,SINGLE,0.0924,600,1.775
34,South_Point 2,-65.73858284,-44.84218373,28.6382185,2019-11-11 18:35:13 UTC,2019-11-11 18:37:13 UTC,SINGLE,0.0616,600,1.775
35,Point 1_benchmark_2,-65.72142438,-44.79673619,54.01628802,2019-11-12 12:42:53 UTC,2019-11-12 13:02:53 UTC,SINGLE,0.2226,6000,1.195
36,MIS5_Point 1_2,-65.73457355,-44.80938453,19.995516,2019-11-12 13:10:51 UTC,2019-11-12 13:12:51 UTC,SINGLE,0.1544,600,1.775
37,MIS11_Bedrock,-65.73858363,-44.84221291,24.03675767,2019-11-12 13:21:28 UTC,2019-11-12 13:23:28 UTC,SINGLE,0.096,600,1.775
38,MIS11_Top of shells,-65.73871075,-44.84220714,26.46609433,2019-11-12 13:24:11 UTC,2019-11-12 13:26:11 UTC,SINGLE,0.1184,600,1.775
39,Modern_Point 1,-65.72934899,-44.82704319,18.11220917,2019-11-12 13:45:28 UTC,2019-11-12 13:47:28 UTC,SINGLE,0.0403,600,1.775
40,Modern_Point 2,-65.72768232,-44.82631444,14.95906917,2019-11-12 13:55:36 UTC,2019-11-12 13:57:36 UTC,SINGLE,0.077,600,1.775
