index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,GCP1,-65.72819139887825,-44.78995134549332,50.8571295,2019-11-11 13:00:24 UTC,2019-11-11 13:02:24 UTC,SINGLE,0.1097,600.0,1.775
2,Point 2,-65.72813437580835,-44.78996322063169,49.62764166666668,2019-11-11 13:04:19 UTC,2019-11-11 13:06:19 UTC,SINGLE,0.1268,600.0,1.775
3,Point 3,-65.72809282622994,-44.789981899785,48.80469333333332,2019-11-11 13:08:52 UTC,2019-11-11 13:10:52 UTC,SINGLE,0.0693,600.0,1.775
4,GCP2,-65.72810323406341,-44.78997999683501,49.43357083333335,2019-11-11 13:11:40 UTC,2019-11-11 13:13:40 UTC,SINGLE,0.0734,600.0,1.775
5,Point 5,-65.72808255824671,-44.78998129571166,49.22342516666668,2019-11-11 13:15:36 UTC,2019-11-11 13:17:36 UTC,SINGLE,0.0943,600.0,1.775
6,GCP3,-65.72803996064164,-44.78999855078327,49.755954,2019-11-11 13:20:34 UTC,2019-11-11 13:22:34 UTC,SINGLE,0.1062,600.0,1.775
7,Point 7,-65.72800373991164,-44.78999739111162,50.125736166666634,2019-11-11 13:25:41 UTC,2019-11-11 13:27:41 UTC,SINGLE,0.0599,600.0,1.775
8,GCP4,-65.72796022781672,-44.790018191669965,48.854718833333365,2019-11-11 13:29:08 UTC,2019-11-11 13:31:08 UTC,SINGLE,0.1182,600.0,1.775
9,GCP5,-65.72793702037836,-44.79001546824336,48.899036166666704,2019-11-11 13:31:54 UTC,2019-11-11 13:33:54 UTC,SINGLE,0.1041,600.0,1.775
10,Point 10,-65.7279047674701,-44.790020759883355,49.23444366666664,2019-11-11 13:35:29 UTC,2019-11-11 13:37:29 UTC,SINGLE,0.0667,600.0,1.775
11,GCP6,-65.7278798251934,-44.790037081001635,48.921510333333345,2019-11-11 13:40:45 UTC,2019-11-11 13:42:45 UTC,SINGLE,0.0883,600.0,1.775
12,Point 12,-65.72782135812491,-44.79004325294338,46.745386166666684,2019-11-11 13:46:32 UTC,2019-11-11 13:48:32 UTC,SINGLE,0.171,600.0,1.775
13,GCP7,-65.72781457867333,-44.79004509650338,46.98591116666662,2019-11-11 13:49:38 UTC,2019-11-11 13:51:38 UTC,SINGLE,0.0662,600.0,1.775
14,GCP8,-65.72777477408835,-44.79005922195505,46.5657683333334,2019-11-11 13:52:59 UTC,2019-11-11 13:54:59 UTC,SINGLE,0.1047,600.0,1.775
15,GCP9,-65.72774584349993,-44.790059324313354,46.10221966666668,2019-11-11 13:56:19 UTC,2019-11-11 13:58:19 UTC,SINGLE,0.0893,600.0,1.775
16,Point 16,-65.72760718669008,-44.7900855200017,47.02457916666669,2019-11-11 14:13:36 UTC,2019-11-11 14:15:36 UTC,SINGLE,0.1122,600.0,1.775
17,Point 17,-65.72759430826832,-44.79007889662335,47.84150550000001,2019-11-11 14:17:08 UTC,2019-11-11 14:19:08 UTC,SINGLE,0.1523,600.0,1.775
18,Point 18,-65.72755674280171,-44.79008449633831,48.124424,2019-11-11 14:19:59 UTC,2019-11-11 14:22:00 UTC,SINGLE,0.0563,600.0,1.775
19,GCP13,-65.72761328985331,-44.79008053479667,47.94877433333335,2019-11-11 14:23:53 UTC,2019-11-11 14:25:53 UTC,SINGLE,0.111,600.0,1.775
20,GCP15,-65.72757701061661,-44.79007990989997,48.9437425,2019-11-11 14:26:56 UTC,2019-11-11 14:28:56 UTC,SINGLE,0.0789,600.0,1.775
21,GCP14,-65.72755351656504,-44.79008234183497,48.89044566666673,2019-11-11 14:29:53 UTC,2019-11-11 14:31:53 UTC,SINGLE,0.0932,600.0,1.775
22,Point 22,-65.72830729806162,-44.799356611318366,46.143316166666665,2019-11-11 15:05:10 UTC,2019-11-11 15:07:10 UTC,SINGLE,0.0632,600.0,1.775
