index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,Base,-67.43280641243774,-46.55810794112583,33.85006587412587,2019-11-02 15:07:07 UTC,2019-11-02 15:09:31 UTC,FIX,0.022,715.0,1.775
2,Point 2,-67.43235062744765,-46.557330113786,13.772488163884681,2019-11-02 15:24:52 UTC,2019-11-02 15:27:03 UTC,FIX,0.0187,659.0,1.775
3,Point 3,-67.43243538125479,-46.55735672642834,14.547374363057338,2019-11-02 15:28:14 UTC,2019-11-02 15:30:20 UTC,FIX,0.0264,628.0,1.775
4,Point 4,-67.4324885526201,-46.557386169114615,15.050384530386738,2019-11-02 15:37:30 UTC,2019-11-02 15:39:55 UTC,FIX,0.0307,724.0,1.775
5,Point 5,-67.43255966729517,-46.55741774765165,15.66407532258067,2019-11-02 15:40:53 UTC,2019-11-02 15:42:57 UTC,FIX,0.0369,620.0,1.775
6,Point 6,-67.43268725417829,-46.557472662687395,16.984449590834704,2019-11-02 15:44:00 UTC,2019-11-02 15:46:02 UTC,FIX,0.0582,611.0,1.775
7,Point 7,-67.43275996655065,-46.557506096775306,18.60161400832179,2019-11-02 15:48:12 UTC,2019-11-02 15:50:36 UTC,FIX,0.0212,721.0,1.775
8,Point 8,-67.43285947261047,-46.55755467016856,19.031623076923083,2019-11-02 15:51:32 UTC,2019-11-02 15:53:34 UTC,FIX,0.0209,611.0,1.775
9,Point 9,-67.4325304357595,-46.55701050195053,12.74500230642503,2019-11-02 15:55:41 UTC,2019-11-02 15:57:43 UTC,FIX,0.0272,607.0,1.775
10,Point 10,-67.4328287584887,-46.55783672497759,24.883341826923086,2019-11-02 16:28:37 UTC,2019-11-02 16:30:41 UTC,FIX,0.038,624.0,1.775
11,Point 11,-67.43293565790604,-46.55767678979739,27.825365403624385,2019-11-02 16:44:28 UTC,2019-11-02 16:46:30 UTC,FIX,0.0366,607.0,1.775
12,Point 12,-67.43301709560258,-46.55771687521988,32.33816775244302,2019-11-02 16:53:09 UTC,2019-11-02 16:55:12 UTC,FIX,0.0243,614.0,1.775
13,Point 13,-67.43329557398198,-46.55803735685599,31.090824386252002,2019-11-02 17:08:39 UTC,2019-11-02 17:10:41 UTC,FIX,0.0509,611.0,1.775
