latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
-46.558129358333325,-67.43282049999999,36.1536,14.83389,306,2019,36.1536,-11049644.193
-46.558130205555535,-67.43282008611112,35.9347,14.83416,306,2019,35.9347,-11049485.942
-46.558131241666665,-67.43281964166668,35.8374,14.83444,306,2019,35.8374,-11049327.148
-46.558131652777774,-67.43281971666667,35.7515,14.83472,306,2019,35.7515,-11049168.131
-46.5581320861111,-67.43281985,35.7674,14.83500,306,2019,35.7674,-11049009.368
-46.55813224999999,-67.43281969722223,35.7112,14.83528,306,2019,35.7112,-11048850.445
-46.55813254999999,-67.43281956666667,35.6247,14.83555,306,2019,35.6247,-11048691.994
-46.558132691666664,-67.4328191611111,35.649,14.83583,306,2019,35.6490,-11048533.380
-46.558133125,-67.43281926944445,35.5737,14.83611,306,2019,35.5737,-11048374.180
-46.558133552777775,-67.43281955,35.5104,14.83639,306,2019,35.5104,-11048214.560
-46.55813345277777,-67.43281993333333,35.4388,14.83666,306,2019,35.4388,-11048054.638
-46.558133230555555,-67.4328200888889,35.4119,14.83694,306,2019,35.4119,-11047894.488
-46.558133102777774,-67.43282015833334,35.4846,14.83722,306,2019,35.4846,-11047734.190
-46.55813261666666,-67.43282019444443,35.6175,14.83750,306,2019,35.6175,-11047573.856
-46.55813275277776,-67.43282068055557,35.5704,14.83778,306,2019,35.5704,-11047413.976
-46.558132791666665,-67.43282085833337,35.5785,14.83805,306,2019,35.5785,-11047253.936
-46.55813281388889,-67.43282086111111,35.5842,14.83833,306,2019,35.5842,-11047093.893
-46.55813278888888,-67.43282100000002,35.5737,14.83861,306,2019,35.5737,-11046933.853
-46.558133747222215,-67.43282146666665,35.3552,14.83889,306,2019,35.3552,-11046774.402
-46.558134113888876,-67.43282164166668,35.2754,14.83916,306,2019,35.2754,-11046614.456
-46.55813447777778,-67.43282186666667,35.2105,14.83944,306,2019,35.2105,-11046454.359
-46.55813458611111,-67.4328219527778,35.2015,14.83972,306,2019,35.2015,-11046293.993
-46.558135074999996,-67.43282207777779,35.1023,14.84000,306,2019,35.1023,-11046133.757
-46.55813513055555,-67.43282213333333,35.1122,14.84028,306,2019,35.1122,-11045973.156
-46.558135175,-67.43282216944445,35.1185,14.84055,306,2019,35.1185,-11045812.622
-46.55813520277777,-67.43282216944445,35.1242,14.84083,306,2019,35.1242,-11045652.078
-46.55813470833332,-67.43282200277778,35.2435,14.84111,306,2019,35.2435,-11045491.252
-46.55813434444445,-67.43282185555556,35.3349,14.84139,306,2019,35.3349,-11045330.405
-46.558133847222216,-67.43282167222223,35.4561,14.84166,306,2019,35.4561,-11045169.793
-46.558133688888894,-67.43282161111112,35.5121,14.84194,306,2019,35.5121,-11045008.956
-46.558133588888886,-67.43282153888889,35.5554,14.84222,306,2019,35.5554,-11044848.245
-46.55813363333333,-67.4328215,35.5607,14.84250,306,2019,35.5607,-11044687.197
-46.55813381944444,-67.43282145555555,35.5388,14.84278,306,2019,35.5388,-11044526.567
-46.55813389999999,-67.4328213888889,35.5413,14.84305,306,2019,35.5413,-11044366.265
-46.55813395277777,-67.4328213388889,35.539,14.84333,306,2019,35.5390,-11044205.541
-46.55813371944444,-67.4328212,35.6092,14.84361,306,2019,35.6092,-11044043.490
-46.55813357499999,-67.43282113611112,35.659,14.84389,306,2019,35.6590,-11043881.076
-46.55813348611111,-67.43282114166666,35.7054,14.84416,306,2019,35.7054,-11043718.483
-46.558133561111106,-67.4328211638889,35.7181,14.84444,306,2019,35.7181,-11043556.117
-46.558133758333334,-67.43282121666667,35.6998,14.84472,306,2019,35.6998,-11043394.036
-46.55813378333333,-67.43282121944445,35.7152,14.84500,306,2019,35.7152,-11043231.776
-46.55813380555555,-67.43282120555557,35.7276,14.84528,306,2019,35.7276,-11043069.503
-46.55813391388888,-67.43282122222223,35.7256,14.84555,306,2019,35.7256,-11042907.409
-46.558133963888885,-67.43282121666667,35.7306,14.84583,306,2019,35.7306,-11042745.362
-46.5581340361111,-67.43282119166669,35.7255,14.84611,306,2019,35.7255,-11042583.122
-46.558134127777784,-67.43282116666668,35.7184,14.84639,306,2019,35.7184,-11042420.810
-46.55813425833333,-67.43282119722224,35.6997,14.84666,306,2019,35.6997,-11042258.588
-46.55813434166665,-67.43282122777778,35.6859,14.84694,306,2019,35.6859,-11042096.384
-46.55813440555555,-67.43282126944445,35.669,14.84722,306,2019,35.6690,-11041934.185
-46.55813435555555,-67.43282129444447,35.677,14.84750,306,2019,35.6770,-11041771.897
-46.55813426944444,-67.43282134166668,35.6834,14.84778,306,2019,35.6834,-11041609.572
-46.55813414722222,-67.43282135555556,35.6988,14.84805,306,2019,35.6988,-11041447.204
-46.558134080555554,-67.4328213888889,35.7055,14.84833,306,2019,35.7055,-11041284.700
-46.55813403055555,-67.43282140555556,35.7142,14.84861,306,2019,35.7142,-11041122.041
-46.5581339861111,-67.43282138611112,35.7218,14.84889,306,2019,35.7218,-11040959.574
-46.558133955555554,-67.4328213388889,35.7212,14.84916,306,2019,35.7212,-11040797.129
-46.5581339111111,-67.43282129444447,35.7239,14.84944,306,2019,35.7239,-11040634.547
-46.55813385555555,-67.43282127500001,35.7328,14.84972,306,2019,35.7328,-11040472.481
-46.558133791666656,-67.43282124444445,35.7397,14.85000,306,2019,35.7397,-11040310.727
-46.558133722222216,-67.43282119722224,35.7468,14.85028,306,2019,35.7468,-11040148.150
-46.558133524999995,-67.43282106944446,35.7596,14.85055,306,2019,35.7596,-11039985.404
-46.558133477777766,-67.43282098611112,35.7356,14.85083,306,2019,35.7356,-11039822.298
-46.55813306388889,-67.43282077777778,35.7591,14.85111,306,2019,35.7591,-11039659.283
-46.55813298888888,-67.43282072777778,35.7458,14.85139,306,2019,35.7458,-11039495.928
-46.55813277222222,-67.43282063055558,35.7606,14.85166,306,2019,35.7606,-11039332.895
-46.55813266111111,-67.43282058611113,35.7626,14.85194,306,2019,35.7626,-11039169.950
-46.558132630555555,-67.43282059166667,35.7581,14.85222,306,2019,35.7581,-11039006.103
-46.55813262777777,-67.4328206138889,35.7508,14.85250,306,2019,35.7508,-11038841.787
-46.55813263333333,-67.4328206388889,35.7449,14.85278,306,2019,35.7449,-11038677.345
-46.55813262777777,-67.43282067777778,35.7419,14.85305,306,2019,35.7419,-11038513.139
-46.558132716666655,-67.43282075833334,35.7255,14.85333,306,2019,35.7255,-11038349.087
-46.55813272777778,-67.43282080000002,35.7277,14.85361,306,2019,35.7277,-11038185.008
-46.55813284444444,-67.43282087222222,35.7018,14.85389,306,2019,35.7018,-11038020.944
-46.55813295555554,-67.43282093888891,35.6739,14.85416,306,2019,35.6739,-11037857.058
-46.55813282499999,-67.43282094444444,35.7016,14.85444,306,2019,35.7016,-11037693.086
-46.55813292777778,-67.43282100277779,35.6807,14.85472,306,2019,35.6807,-11037529.066
-46.55813293055555,-67.43282103888889,35.6826,14.85500,306,2019,35.6826,-11037364.941
-46.55813293055555,-67.4328211027778,35.6887,14.85527,306,2019,35.6887,-11037200.983
-46.5581332,-67.43282123888889,35.6401,14.85555,306,2019,35.6401,-11037037.220
-46.55813369166666,-67.4328214277778,35.5434,14.85583,306,2019,35.5434,-11036873.434
-46.55813367777777,-67.43282148888889,35.547,14.85611,306,2019,35.5470,-11036709.283
-46.55813366666666,-67.43282153333334,35.5451,14.85639,306,2019,35.5451,-11036545.289
-46.558133725,-67.43282160000001,35.5345,14.85666,306,2019,35.5345,-11036381.252
-46.55813388333333,-67.43282168055556,35.4998,14.85694,306,2019,35.4998,-11036217.203
-46.55813399722222,-67.43282185000001,35.44,14.85722,306,2019,35.4400,-11036053.087
-46.558134097222215,-67.43282200555556,35.3799,14.85750,306,2019,35.3799,-11035888.945
-46.55813423333333,-67.43282205277778,35.3465,14.85778,306,2019,35.3465,-11035724.630
-46.55813404444445,-67.43282208333333,35.3638,14.85805,306,2019,35.3638,-11035560.055
-46.558134024999994,-67.43282211388889,35.3555,14.85833,306,2019,35.3555,-11035395.874
-46.55813401388889,-67.43282209722223,35.3518,14.85861,306,2019,35.3518,-11035231.412
-46.55813399722222,-67.43282207222222,35.3457,14.85889,306,2019,35.3457,-11035067.260
-46.558133977777764,-67.43282206388889,35.3328,14.85916,306,2019,35.3328,-11034902.567
-46.558134055555556,-67.43282206944446,35.3045,14.85944,306,2019,35.3045,-11034737.870
-46.55813397499999,-67.43282205277778,35.3046,14.85972,306,2019,35.3046,-11034572.877
-46.558133955555554,-67.43282205277778,35.298,14.86000,306,2019,35.2980,-11034408.051
-46.558133955555554,-67.43282200555556,35.2961,14.86028,306,2019,35.2961,-11034242.848
-46.558133955555554,-67.43282198333334,35.2945,14.86055,306,2019,35.2945,-11034078.180
-46.558133955555554,-67.43282194444446,35.295,14.86083,306,2019,35.2950,-11033913.873
-46.55813367777777,-67.43282189444446,35.3339,14.86111,306,2019,35.3339,-11033748.593
-46.55813380555555,-67.43282198611114,35.286,14.86139,306,2019,35.2860,-11033582.788
-46.558133758333334,-67.4328220138889,35.2807,14.86166,306,2019,35.2807,-11033416.703
-46.55813378333333,-67.43282198611114,35.2728,14.86194,306,2019,35.2728,-11033250.610
-46.55813377222221,-67.43282196944446,35.2625,14.86222,306,2019,35.2625,-11033084.727
-46.558133747222215,-67.43282210833335,35.2222,14.86250,306,2019,35.2222,-11032919.130
-46.55813376666666,-67.43282210277779,35.211,14.86278,306,2019,35.2110,-11032753.442
-46.55813370277777,-67.43282207777779,35.214,14.86305,306,2019,35.2140,-11032587.712
-46.55813355555555,-67.43282202500002,35.2368,14.86333,306,2019,35.2368,-11032422.112
-46.55813364999999,-67.43282203611112,35.2131,14.86361,306,2019,35.2131,-11032256.518
-46.55813385277777,-67.43282207222222,35.1661,14.86389,306,2019,35.1661,-11032090.966
-46.55813401111109,-67.43282208333333,35.1323,14.86416,306,2019,35.1323,-11031925.387
-46.558133963888885,-67.43282205833336,35.1382,14.86444,306,2019,35.1382,-11031759.838
-46.558133919444444,-67.43282206944446,35.1383,14.86472,306,2019,35.1383,-11031594.090
-46.558134069444435,-67.43282208611112,35.1116,14.86500,306,2019,35.1116,-11031428.395
-46.558134127777784,-67.43282215,35.0918,14.86528,306,2019,35.0918,-11031262.589
-46.55813404166666,-67.432822275,35.0727,14.86555,306,2019,35.0727,-11031096.854
-46.55813395277777,-67.43282235555557,35.0739,14.86583,306,2019,35.0739,-11030931.210
-46.55813391388888,-67.43282239166668,35.0748,14.86611,306,2019,35.0748,-11030765.417
-46.558134005555544,-67.43282235277778,35.0762,14.86639,306,2019,35.0762,-11030599.469
-46.55813382777777,-67.43282240555556,35.0963,14.86666,306,2019,35.0963,-11030433.437
-46.55813366666666,-67.43282243888889,35.1123,14.86694,306,2019,35.1123,-11030267.965
-46.55813356388889,-67.43282240555556,35.1367,14.86722,306,2019,35.1367,-11030102.194
-46.55813356388889,-67.43282241111112,35.144,14.86750,306,2019,35.1440,-11029936.825
-46.558133541666656,-67.43282241666667,35.1495,14.86778,306,2019,35.1495,-11029771.519
-46.55813354444444,-67.4328224,35.1503,14.86805,306,2019,35.1503,-11029605.078
-46.55813384999998,-67.43282243333334,35.1048,14.86833,306,2019,35.1048,-11029438.958
-46.5581340361111,-67.43282244166667,35.0756,14.86861,306,2019,35.0756,-11029273.156
-46.55813439166666,-67.43282247777778,35.0185,14.86889,306,2019,35.0185,-11029106.569
-46.55813448055556,-67.43282246944445,35.0066,14.86916,306,2019,35.0066,-11028939.786
-46.558134302777766,-67.43282244999999,35.029,14.86944,306,2019,35.0290,-11028772.544
-46.55813425833333,-67.43282245277777,35.0309,14.86972,306,2019,35.0309,-11028605.197
-46.55813422222222,-67.43282247222223,35.025,14.87000,306,2019,35.0250,-11028437.867
-46.55813423333333,-67.43282241111112,35.035,14.87028,306,2019,35.0350,-11028270.425
-46.55813436388888,-67.43282244999999,35.0075,14.87055,306,2019,35.0075,-11028103.292
-46.55813440277777,-67.43282246944445,34.9994,14.87083,306,2019,34.9994,-11027936.195
-46.558134444444434,-67.43282245277777,34.9962,14.87111,306,2019,34.9962,-11027769.108
-46.55813430833332,-67.43282244444445,35.0206,14.87139,306,2019,35.0206,-11027601.883
-46.558134224999996,-67.43282240833334,35.0426,14.87166,306,2019,35.0426,-11027434.682
-46.55813417222221,-67.43282244166667,35.0429,14.87194,306,2019,35.0429,-11027267.572
-46.55813410277777,-67.43282241111112,35.0584,14.87222,306,2019,35.0584,-11027100.316
-46.558133980555546,-67.43282239444446,35.0831,14.87250,306,2019,35.0831,-11026932.984
-46.55813381944444,-67.43282238611111,35.1068,14.87278,306,2019,35.1068,-11026765.771
