%_UTC,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019-11-12 13:30:29.500,-44.842432223,-65.737729193,39.9647,1,6,0.3692,0.3184,2.2143,0.3427,-0.8393,-0.9032,0.1,56.5
2019-11-12 13:30:31.000,-44.842399561,-65.737703345,18.8939,2,7,0.194,0.1664,1.0462,0.148,-0.3897,-0.4173,-0.0,1.9
2019-11-12 13:30:31.500,-44.84235867100001,-65.73767666100001,23.1372,1,7,0.2761,0.2384,1.664,0.2564,-0.6294,-0.6765,0.1,16.0
2019-11-12 13:30:32.000,-44.84241141,-65.737716436,26.2787,2,7,0.1045,0.0879,0.3535,-0.0342,-0.1138,-0.1165,-0.0,2.4
2019-11-12 13:30:32.500,-44.842411248000005,-65.737717027,26.3777,2,7,0.1031,0.0875,0.3528,-0.0361,-0.1129,-0.1148,0.1,1.3
2019-11-12 13:30:33.000,-44.842410951000005,-65.737716723,26.4882,2,7,0.1034,0.0876,0.3529,-0.0358,-0.1129,-0.1149,-0.0,1.0
2019-11-12 13:30:33.500,-44.842368646000004,-65.737684337,22.4689,1,7,0.1247,0.1076,0.7509,0.1156,-0.2836,-0.3047,0.1,12.8
2019-11-12 13:30:34.000,-44.842369088000005,-65.737682996,24.2454,1,6,0.1196,0.1023,0.7122,0.1103,-0.2692,-0.2895,-0.0,3.7
2019-11-12 13:30:34.500,-44.842412541,-65.737717466,27.0439,2,6,0.1031,0.0877,0.3549,-0.0357,-0.1137,-0.1156,0.1,2.0
2019-11-12 13:30:35.000,-44.842376995,-65.737686978,25.9548,1,7,0.1047,0.0902,0.6298,0.0969,-0.2375,-0.2551,-0.0,14.1
2019-11-12 13:30:35.500,-44.842411891000005,-65.737717148,26.744,2,7,0.1036,0.0876,0.3527,-0.0354,-0.1125,-0.1143,0.1,1.3
2019-11-12 13:30:36.000,-44.842412945,-65.737717281,27.1124,2,7,0.1036,0.0877,0.3529,-0.0353,-0.1124,-0.1142,-0.0,2.2
2019-11-12 13:30:36.500,-44.842397932,-65.737705221,29.5852,2,7,0.0569,0.048,0.3323,0.0519,-0.1253,-0.1348,0.1,3.4
2019-11-12 13:30:37.000,-44.842421266,-65.73773020899999,30.4493,1,7,0.0728,0.0625,0.4369,0.0668,-0.164,-0.1747,-0.0,3.8
2019-11-12 13:30:37.500,-44.842404461,-65.737712532,28.945,2,7,0.0555,0.0472,0.3291,0.0508,-0.1237,-0.1325,0.1,4.3
2019-11-12 13:30:38.000,-44.842393961000006,-65.737699346,28.4335,1,7,0.0806,0.068,0.4718,0.0735,-0.1779,-0.1913,-0.0,18.5
2019-11-12 13:30:38.500,-44.842430959,-65.737730806,27.4116,2,7,0.1022,0.087,0.352,-0.0378,-0.1095,-0.1096,0.1,2.6
2019-11-12 13:30:39.000,-44.842437991000004,-65.73773261699999,27.0783,2,7,0.1023,0.0873,0.3502,-0.0373,-0.1104,-0.1112,-0.0,1.3
2019-11-12 13:30:39.500,-44.842416271000005,-65.737702256,30.1228,1,7,0.0746,0.0627,0.4369,0.0678,-0.164,-0.1763,0.1,14.0
2019-11-12 13:30:40.000,-44.842425223,-65.737700819,30.4129,1,7,0.0707,0.0603,0.4226,0.0649,-0.1585,-0.1699,-0.0,15.8
2019-11-12 13:30:40.500,-44.842435151000004,-65.73769625,30.9167,1,7,0.0704,0.0589,0.4103,0.0638,-0.1542,-0.1658,0.1,4.1
2019-11-12 13:30:41.000,-44.84247175,-65.73771833800001,27.5828,2,7,0.1023,0.0873,0.3549,-0.0374,-0.1105,-0.1112,-0.0,1.2
2019-11-12 13:30:41.500,-44.842478297,-65.737710514,28.1944,2,7,0.1022,0.0876,0.3577,-0.0371,-0.1118,-0.1117,0.1,1.0
2019-11-12 13:30:42.000,-44.842482891,-65.737701424,28.0337,2,7,0.1019,0.0876,0.3571,-0.0375,-0.1122,-0.1124,-0.0,2.2
2019-11-12 13:30:42.500,-44.842465368999996,-65.737672383,31.3915,1,7,0.0232,0.0121,0.0386,0.0155,-0.0144,-0.0219,0.1,3.4
2019-11-12 13:30:43.000,-44.842486484,-65.737684707,28.4217,2,7,0.1021,0.0878,0.3578,-0.0372,-0.1119,-0.1118,-0.0,1.1
