%_UTC,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019-11-12 13:38:54.000,-44.826309745,-65.730802043,28.1694,1,6,0.0124,0.0064,0.0513,0.0047,-0.006,0.0182,-0.0,999.9
2019-11-12 13:38:54.500,-44.826309815,-65.730802096,28.1261,1,6,0.0125,0.0063,0.0513,0.0047,-0.006,0.0182,-0.1,999.9
2019-11-12 13:38:55.000,-44.826309668,-65.730802129,28.1829,1,6,0.0124,0.0063,0.0513,0.0046,-0.006,0.0182,-0.0,999.9
2019-11-12 13:38:55.500,-44.82630975399999,-65.73080213,28.1863,1,6,0.0125,0.0063,0.0513,0.0047,-0.006,0.0182,-0.1,999.9
2019-11-12 13:38:56.000,-44.826309667,-65.730802324,27.1927,2,6,0.0088,0.0045,0.0363,0.0033,-0.0042,0.0129,-0.0,4.2
2019-11-12 13:38:56.500,-44.826309938,-65.730801948,28.141,1,6,0.0123,0.0062,0.0471,0.0043,-0.0023,0.0191,-0.1,999.9
2019-11-12 13:38:57.000,-44.826310126,-65.730801537,28.1335,1,6,0.0124,0.0064,0.0513,0.0046,-0.0059,0.0182,-0.0,999.9
2019-11-12 13:38:57.500,-44.826308881,-65.730797884,28.0735,1,6,0.0125,0.0063,0.0513,0.0047,-0.0059,0.0182,-0.1,999.9
2019-11-12 13:38:58.000,-44.826306958,-65.730793171,28.1437,1,6,0.0124,0.0061,0.047,0.0044,-0.0023,0.0191,-0.0,999.9
2019-11-12 13:38:58.500,-44.826306131,-65.73078701899999,28.0389,1,6,0.0125,0.0064,0.0513,0.0047,-0.0059,0.0182,-0.1,999.9
2019-11-12 13:38:59.000,-44.82630386100001,-65.73078098100001,28.1379,1,6,0.0124,0.0063,0.0513,0.0047,-0.0059,0.0183,-0.0,999.9
2019-11-12 13:38:59.500,-44.826302745,-65.730774516,28.0067,1,6,0.0124,0.0064,0.0513,0.0047,-0.0059,0.0183,-0.1,999.9
2019-11-12 13:39:00.000,-44.826300795,-65.73076787,28.0416,1,6,0.0124,0.0063,0.0513,0.0046,-0.0059,0.0183,-0.0,999.9
2019-11-12 13:39:00.500,-44.826298972,-65.730761637,27.9238,1,6,0.0124,0.0064,0.0513,0.0046,-0.0058,0.0183,-0.1,999.9
2019-11-12 13:39:01.000,-44.82629716,-65.73075506,27.9845,1,6,0.0124,0.0063,0.0512,0.0046,-0.0059,0.0183,-0.0,999.9
2019-11-12 13:39:01.500,-44.82629534,-65.730748573,27.9537,1,6,0.0125,0.0063,0.0512,0.0046,-0.0058,0.0183,-0.1,999.9
2019-11-12 13:39:02.000,-44.8262946,-65.73074190199999,27.7904,1,6,0.0124,0.0063,0.0512,0.0045,-0.0058,0.0183,-0.0,999.9
2019-11-12 13:39:02.500,-44.826292435,-65.730735287,27.6693,1,6,0.0124,0.0063,0.0512,0.0046,-0.0058,0.0183,-0.1,999.9
2019-11-12 13:39:03.000,-44.826290906000004,-65.73072708,27.387,1,6,0.0124,0.0063,0.0512,0.0046,-0.0058,0.0183,-0.0,845.4
2019-11-12 13:39:03.500,-44.826288793,-65.730719883,27.2196,1,6,0.0124,0.0063,0.0512,0.0047,-0.0058,0.0183,-0.1,81.0
2019-11-12 13:39:04.000,-44.826287897,-65.730712349,27.0565,1,6,0.0125,0.0063,0.0512,0.0047,-0.0058,0.0183,-0.0,999.9
2019-11-12 13:39:04.500,-44.826285611,-65.730704996,26.9295,1,6,0.0125,0.0063,0.0512,0.0047,-0.0058,0.0183,-0.1,999.9
2019-11-12 13:39:05.000,-44.826284777,-65.730697007,26.8387,1,6,0.0124,0.0063,0.0512,0.0046,-0.0058,0.0183,-0.0,999.9
2019-11-12 13:39:05.500,-44.82628336,-65.73068997899999,26.8657,1,6,0.0125,0.0063,0.0512,0.0047,-0.0057,0.0183,-0.1,999.9
2019-11-12 13:39:06.000,-44.8262819,-65.730683341,26.8407,1,6,0.0124,0.0063,0.0512,0.0047,-0.0057,0.0183,-0.0,999.9
2019-11-12 13:39:06.500,-44.826281108,-65.730676234,26.808,1,6,0.0125,0.0063,0.0512,0.0047,-0.0057,0.0183,-0.1,999.9
2019-11-12 13:39:07.000,-44.826278796000004,-65.730669024,26.8151,1,6,0.0124,0.0064,0.0511,0.0047,-0.0057,0.0183,-0.0,999.9
2019-11-12 13:39:07.500,-44.826277704,-65.730660874,26.6614,1,6,0.0123,0.0061,0.0435,0.0042,0.0043,0.0198,-0.1,999.9
2019-11-12 13:39:08.000,-44.826275824,-65.730653673,26.7293,1,6,0.0123,0.006,0.0436,0.0043,0.0043,0.0197,-0.0,999.9
2019-11-12 13:39:08.500,-44.826275281,-65.730646053,26.6898,1,6,0.0123,0.006,0.0439,0.0043,0.0041,0.0197,-0.1,999.9
2019-11-12 13:39:09.000,-44.826274033999994,-65.730638304,26.6524,1,6,0.0122,0.0061,0.0442,0.0041,0.0039,0.0196,-0.0,999.9
2019-11-12 13:39:09.500,-44.826273538,-65.73063086399999,26.5514,1,6,0.0123,0.006,0.0446,0.0043,0.0035,0.0196,-0.1,999.9
2019-11-12 13:39:10.000,-44.826272345,-65.73062339100001,26.5818,1,6,0.0123,0.0061,0.0454,0.0044,0.0027,0.0194,-0.0,999.9
2019-11-12 13:39:10.500,-44.826271005,-65.730615765,26.615,1,6,0.0125,0.006,0.0469,0.0045,-0.0017,0.0191,-0.1,999.9
2019-11-12 13:39:11.000,-44.826270186,-65.73061236,26.4667,2,6,0.0087,0.0043,0.0325,0.0031,0.0013,0.0136,-0.0,3.8
2019-11-12 13:39:11.500,-44.826268747,-65.73060507699999,26.4417,2,6,0.0088,0.0045,0.0361,0.0033,-0.004,0.0129,0.1,3.5
2019-11-12 13:39:12.000,-44.826268003,-65.730601263,26.3714,1,6,0.0124,0.0064,0.0511,0.0046,-0.0056,0.0183,-0.0,5.3
2019-11-12 13:39:12.500,-44.82626622,-65.730586051,26.6063,1,6,0.0123,0.0059,0.0422,0.0042,0.0052,0.02,-0.1,74.5
2019-11-12 13:39:13.000,-44.826265643,-65.730578649,26.6345,1,6,0.0125,0.0063,0.051,0.0047,-0.0056,0.0183,-0.0,999.9
2019-11-12 13:39:13.500,-44.826264728999995,-65.730574882,26.5273,2,6,0.0088,0.0045,0.0361,0.0033,-0.0039,0.0129,0.1,3.6
2019-11-12 13:39:14.000,-44.826264736000006,-65.730568182,26.4255,2,6,0.0088,0.0045,0.0361,0.0033,-0.0039,0.0129,-0.0,4.3
2019-11-12 13:39:14.500,-44.826263104,-65.730561263,26.4525,2,6,0.0088,0.0044,0.0361,0.0034,-0.0039,0.0129,0.1,4.7
2019-11-12 13:39:15.000,-44.826262158,-65.73055381,26.4234,2,6,0.0088,0.0045,0.0361,0.0033,-0.0039,0.0129,-0.0,4.3
2019-11-12 13:39:15.500,-44.826260176000005,-65.73054672100001,26.4236,2,6,0.0088,0.0044,0.0361,0.0033,-0.0039,0.0129,0.1,3.5
2019-11-12 13:39:16.000,-44.826258676,-65.73053569300001,26.5305,1,6,0.0124,0.0064,0.051,0.0047,-0.0055,0.0183,-0.0,999.9
2019-11-12 13:39:16.500,-44.826256916999995,-65.730528668,26.4934,1,6,0.0123,0.0062,0.0446,0.0044,0.0036,0.0196,-0.1,508.2
2019-11-12 13:39:17.000,-44.826255493000005,-65.730520971,26.4154,1,6,0.0124,0.0061,0.0453,0.0045,0.0029,0.0194,-0.0,7.1
2019-11-12 13:39:17.500,-44.826254282,-65.73051343600001,26.4141,1,6,0.0124,0.0061,0.0468,0.0045,-0.001,0.0191,-0.1,6.4
2019-11-12 13:39:18.000,-44.826252787,-65.730505801,26.4301,1,6,0.0125,0.0063,0.051,0.0047,-0.0055,0.0183,-0.0,6.8
2019-11-12 13:39:18.500,-44.82625177600001,-65.730498095,26.398,1,6,0.0124,0.0062,0.0468,0.0045,-0.0012,0.0191,-0.1,6.4
2019-11-12 13:39:19.000,-44.826249557,-65.730489961,26.3653,1,6,0.0124,0.0064,0.0509,0.0047,-0.0054,0.0183,-0.0,6.1
2019-11-12 13:39:19.500,-44.826248088,-65.730481721,26.3178,1,6,0.0122,0.006,0.0445,0.0041,0.0038,0.0196,-0.1,6.6
2019-11-12 13:39:20.000,-44.826245668999995,-65.73047366,26.3036,1,6,0.0125,0.0061,0.0453,0.0046,0.0029,0.0194,-0.0,5.3
2019-11-12 13:39:20.500,-44.826244027,-65.73046541,26.296,1,6,0.0123,0.0063,0.0468,0.0044,-0.0008,0.0192,-0.1,4.1
2019-11-12 13:39:21.000,-44.826241537,-65.730457577,26.2179,1,6,0.0124,0.0064,0.0509,0.0046,-0.0054,0.0183,-0.0,3.7
2019-11-12 13:39:21.500,-44.826239975,-65.730449103,26.2493,1,6,0.0125,0.0064,0.0509,0.0047,-0.0054,0.0183,-0.1,3.1
2019-11-12 13:39:22.000,-44.826236763000004,-65.73044404,26.4661,2,6,0.0784,0.0387,0.2669,0.027,0.0323,0.1264,-0.0,1.2
2019-11-12 13:39:22.500,-44.826236064,-65.730437065,26.4826,2,6,0.0784,0.0387,0.2668,0.027,0.0323,0.1264,0.1,1.1
2019-11-12 13:39:23.000,-44.826233633,-65.730431096,26.4514,2,6,0.0784,0.0386,0.2663,0.027,0.0327,0.1264,-0.0,1.1
2019-11-12 13:39:23.500,-44.826232399,-65.73042588,26.4413,2,6,0.0784,0.0387,0.2667,0.027,0.0325,0.1264,0.1,1.1
2019-11-12 13:39:24.000,-44.826230795,-65.730421513,26.5466,2,6,0.0784,0.0387,0.2666,0.0271,0.0326,0.1264,-0.0,1.0
2019-11-12 13:39:24.500,-44.82622889100001,-65.730417806,26.538,2,6,0.0784,0.0386,0.266,0.0271,0.033,0.1265,0.1,1.0
2019-11-12 13:39:25.000,-44.826229545,-65.73041204399999,26.1829,1,6,0.0124,0.0062,0.0467,0.0045,0.0007,0.0192,-0.0,3.1
2019-11-12 13:39:25.500,-44.826228779,-65.730410702,26.215,1,6,0.0125,0.0063,0.0509,0.0048,-0.0053,0.0183,-0.1,3.2
2019-11-12 13:39:26.000,-44.826227636999995,-65.730412386,26.4794,2,6,0.0784,0.0387,0.2664,0.0272,0.0329,0.1264,-0.0,1.1
2019-11-12 13:39:26.500,-44.826227586,-65.73041234,26.5012,2,6,0.0784,0.0387,0.2663,0.0272,0.033,0.1264,0.1,1.0
2019-11-12 13:39:27.000,-44.82622824600001,-65.730412693,26.499,2,6,0.0784,0.0387,0.2662,0.0272,0.0331,0.1264,-0.0,1.0
2019-11-12 13:39:27.500,-44.826228258,-65.730412982,26.5148,2,6,0.0784,0.0387,0.2662,0.0273,0.0333,0.1264,0.1,1.1
2019-11-12 13:39:28.000,-44.826228484,-65.73041327600001,26.5145,2,6,0.0785,0.0387,0.2661,0.0273,0.0334,0.1264,-0.0,1.3
2019-11-12 13:39:28.500,-44.826228665,-65.730412708,26.5488,2,6,0.0785,0.0387,0.2661,0.0273,0.0335,0.1264,0.1,1.3
2019-11-12 13:39:29.000,-44.826228815,-65.730412297,26.5242,2,6,0.0785,0.0387,0.2661,0.0274,0.0337,0.1264,-0.0,1.4
2019-11-12 13:39:29.500,-44.82622880899999,-65.730412399,26.5945,2,6,0.0785,0.0387,0.2661,0.0274,0.0339,0.1265,0.1,1.6
2019-11-12 13:39:30.000,-44.826228826000005,-65.730412455,26.5293,2,6,0.0785,0.0388,0.2662,0.0275,0.0341,0.1266,-0.0,1.7
2019-11-12 13:39:30.500,-44.826227292,-65.730413724,26.4885,2,6,0.0786,0.0388,0.2657,0.0276,0.0348,0.1268,0.1,1.5
2019-11-12 13:39:31.000,-44.826226138,-65.7304133,26.5619,2,6,0.0787,0.0389,0.2661,0.0278,0.0355,0.1271,-0.0,1.4
2019-11-12 13:39:31.500,-44.826225915,-65.73041281,26.5133,2,6,0.079,0.0391,0.2677,0.0283,0.0372,0.1279,0.1,1.5
2019-11-12 13:39:32.000,-44.826225793999996,-65.730412762,26.4746,2,6,0.0786,0.0387,0.266,0.0276,0.035,0.1269,-0.0,1.2
2019-11-12 13:39:32.500,-44.826225677,-65.73041126,26.4644,2,6,0.0785,0.0387,0.2657,0.0275,0.0347,0.1267,0.1,2.1
2019-11-12 13:39:33.000,-44.826219596,-65.73040906899999,28.8424,1,6,0.0123,0.0061,0.0436,0.0043,0.0046,0.0197,-0.0,4.6
2019-11-12 13:39:33.500,-44.826217917,-65.730402676,28.7382,1,6,0.0125,0.0063,0.0507,0.0048,-0.0052,0.0183,0.1,6.8
2019-11-12 13:39:34.000,-44.826216155,-65.730395754,28.7524,1,6,0.0125,0.0064,0.0507,0.0048,-0.0051,0.0183,-0.0,4.3
2019-11-12 13:39:34.500,-44.826214572,-65.730388252,28.7983,1,6,0.0125,0.0063,0.0507,0.0047,-0.0051,0.0183,0.1,3.6
2019-11-12 13:39:35.000,-44.826212715,-65.730381798,28.8183,1,6,0.0125,0.0063,0.0507,0.0048,-0.0051,0.0183,-0.0,4.5
2019-11-12 13:39:35.500,-44.826212068000004,-65.730374589,28.856,1,6,0.0125,0.0064,0.0507,0.0048,-0.0051,0.0183,0.1,4.3
2019-11-12 13:39:36.000,-44.826210291,-65.73036756399999,28.9118,1,6,0.0125,0.0063,0.0507,0.0048,-0.0051,0.0183,-0.0,4.9
2019-11-12 13:39:36.500,-44.826210115,-65.730360498,28.9267,1,6,0.0124,0.0061,0.0466,0.0044,0.0017,0.0192,0.1,4.7
2019-11-12 13:39:37.000,-44.826209247,-65.73035333,28.9275,1,6,0.0123,0.0062,0.0451,0.0044,0.0035,0.0194,-0.0,10.0
2019-11-12 13:39:37.500,-44.826209248999994,-65.730346127,28.9136,1,6,0.0123,0.0061,0.0444,0.0044,0.0041,0.0196,0.1,9.1
2019-11-12 13:39:38.000,-44.826209413,-65.73033850899999,28.8009,1,6,0.0124,0.006,0.0439,0.0045,0.0045,0.0197,-0.0,999.9
2019-11-12 13:39:38.500,-44.826209526999996,-65.730330564,28.8091,1,6,0.0124,0.0061,0.0436,0.0045,0.0047,0.0197,0.1,999.9
2019-11-12 13:39:39.000,-44.82621067,-65.73032270899999,28.7121,1,6,0.0124,0.0061,0.0434,0.0046,0.0048,0.0197,-0.0,999.9
2019-11-12 13:39:39.500,-44.826211279,-65.73031469899999,28.7807,1,6,0.0123,0.0061,0.0432,0.0044,0.0049,0.0198,0.1,999.9
2019-11-12 13:39:40.000,-44.826212685,-65.73030671,28.6842,1,6,0.0123,0.0061,0.0431,0.0044,0.0051,0.0198,-0.0,999.9
2019-11-12 13:39:40.500,-44.82621352899999,-65.730298817,28.5911,1,6,0.0124,0.0061,0.043,0.0044,0.0051,0.0198,0.1,999.9
2019-11-12 13:39:41.000,-44.826215141000006,-65.730291198,28.5321,1,6,0.0195,0.0104,0.076,0.0122,0.0237,0.0366,-0.0,999.9
2019-11-12 13:39:41.500,-44.82621587,-65.730283172,28.4685,1,6,0.0163,0.0085,0.0618,0.0091,0.0172,0.0295,0.1,999.9
2019-11-12 13:39:42.000,-44.826217801999995,-65.730275372,28.3519,1,6,0.0151,0.0079,0.0562,0.0079,0.0144,0.0267,-0.0,999.9
2019-11-12 13:39:42.500,-44.826218315,-65.73026715600001,28.3154,1,6,0.0145,0.0074,0.0524,0.0072,0.0129,0.0252,0.1,19.8
2019-11-12 13:39:43.000,-44.826219552,-65.730258757,28.3706,1,6,0.0195,0.0105,0.0754,0.0122,0.0238,0.0367,-0.0,813.2
2019-11-12 13:39:43.500,-44.826221097,-65.73025062,28.182,1,6,0.0163,0.0086,0.061,0.0092,0.0173,0.0296,0.1,999.9
2019-11-12 13:39:44.000,-44.82622339899999,-65.730242788,28.3329,1,6,0.0195,0.0105,0.0754,0.0122,0.0238,0.0367,-0.0,969.2
2019-11-12 13:39:44.500,-44.826225672,-65.730235893,28.1969,1,6,0.0163,0.0086,0.061,0.0091,0.0173,0.0296,0.1,999.9
2019-11-12 13:39:45.000,-44.826228443000005,-65.730228947,28.1882,1,6,0.0151,0.0078,0.0554,0.0079,0.0145,0.0268,-0.0,999.9
2019-11-12 13:39:45.500,-44.826228726000004,-65.73022152600001,28.0996,1,6,0.0144,0.0073,0.0524,0.0071,0.0129,0.0252,0.1,999.9
2019-11-12 13:39:46.000,-44.826227718999995,-65.73021395399999,28.0487,1,6,0.0141,0.0071,0.0505,0.0068,0.0118,0.0243,-0.0,999.9
2019-11-12 13:39:46.500,-44.826225922,-65.7302066,28.017,1,6,0.0138,0.0069,0.0492,0.0064,0.011,0.0236,0.1,52.9
2019-11-12 13:39:47.000,-44.826223721999995,-65.730198586,28.0066,1,6,0.0136,0.0069,0.0482,0.0062,0.0105,0.0231,-0.0,62.6
2019-11-12 13:39:47.500,-44.826222791999996,-65.73019189899999,28.0176,1,6,0.0134,0.0068,0.0475,0.0059,0.01,0.0228,0.1,23.9
2019-11-12 13:39:48.000,-44.826221092,-65.73018495699999,27.9851,1,6,0.0133,0.0067,0.0469,0.0058,0.0096,0.0225,-0.0,56.8
2019-11-12 13:39:48.500,-44.826220066000005,-65.730177425,27.9949,1,6,0.0132,0.0066,0.0464,0.0057,0.0093,0.0222,0.1,35.8
2019-11-12 13:39:49.000,-44.826217895,-65.73017014,28.0099,1,6,0.0132,0.0066,0.046,0.0056,0.009,0.022,-0.0,28.3
2019-11-12 13:39:49.500,-44.826216458999994,-65.730162982,28.0266,1,6,0.0131,0.0065,0.0457,0.0055,0.0088,0.0219,0.1,24.1
2019-11-12 13:39:50.000,-44.826214303,-65.730156287,28.0776,1,6,0.013,0.0065,0.0454,0.0054,0.0086,0.0217,-0.0,8.7
2019-11-12 13:39:50.500,-44.82621297,-65.730150199,28.0486,1,6,0.0129,0.0065,0.0452,0.0053,0.0085,0.0216,0.1,20.9
2019-11-12 13:39:51.000,-44.826211453999996,-65.73014439399999,28.1572,1,6,0.0129,0.0065,0.045,0.0053,0.0083,0.0215,-0.0,16.4
2019-11-12 13:39:51.500,-44.826209593,-65.730138503,28.1531,1,6,0.0129,0.0065,0.0448,0.0053,0.0082,0.0214,0.1,8.9
2019-11-12 13:39:52.000,-44.82620809,-65.730131543,28.2096,1,6,0.0128,0.0064,0.0446,0.0051,0.0081,0.0213,-0.0,13.3
2019-11-12 13:39:52.500,-44.826206135,-65.730124734,28.2836,1,6,0.0129,0.0063,0.0445,0.0051,0.0079,0.0213,0.1,10.2
2019-11-12 13:39:53.000,-44.826205637,-65.730117621,28.2975,1,6,0.013,0.0066,0.0526,0.0055,0.0027,0.0197,-0.0,999.9
2019-11-12 13:39:53.500,-44.826203905,-65.730111128,28.3002,1,6,0.013,0.0067,0.0525,0.0055,0.0024,0.0196,0.1,999.9
2019-11-12 13:39:54.000,-44.826203705,-65.73010448699999,28.3874,1,6,0.013,0.0066,0.0524,0.0055,0.0022,0.0196,-0.0,999.9
2019-11-12 13:39:54.500,-44.826202045,-65.73009730300001,28.4378,1,6,0.0125,0.0063,0.0504,0.0049,-0.0046,0.0184,0.1,20.4
2019-11-12 13:39:55.000,-44.826201545,-65.730089788,28.4105,1,6,0.0125,0.0064,0.0504,0.0049,-0.0046,0.0184,-0.0,201.0
2019-11-12 13:39:55.500,-44.826200369,-65.73008259699999,28.4516,1,6,0.0124,0.0063,0.0463,0.0046,0.0026,0.0192,0.1,426.3
2019-11-12 13:39:56.000,-44.82619998,-65.730075978,28.38,1,6,0.0125,0.0063,0.0503,0.0049,-0.0046,0.0184,-0.0,654.4
2019-11-12 13:39:56.500,-44.826198694,-65.730069172,28.4116,1,6,0.0126,0.0063,0.0504,0.0049,-0.0046,0.0184,0.1,889.1
2019-11-12 13:39:57.000,-44.82619750600001,-65.730062685,28.3253,1,6,0.0126,0.0064,0.0503,0.005,-0.0045,0.0184,-0.0,999.9
2019-11-12 13:39:57.500,-44.826196456000005,-65.730056291,28.439,1,6,0.0126,0.0063,0.0503,0.0049,-0.0046,0.0184,0.1,999.9
2019-11-12 13:39:58.000,-44.826194892,-65.730051667,28.3832,1,6,0.0125,0.0064,0.0503,0.0049,-0.0045,0.0184,-0.0,999.9
2019-11-12 13:39:58.500,-44.8261945,-65.730047387,28.4049,1,6,0.0125,0.0063,0.0503,0.0049,-0.0045,0.0184,0.1,999.9
2019-11-12 13:39:59.000,-44.826194001000005,-65.730046714,28.451,1,6,0.0125,0.0064,0.0503,0.0049,-0.0045,0.0184,-0.0,999.9
2019-11-12 13:39:59.500,-44.82619394,-65.730046642,28.3584,1,6,0.0125,0.0063,0.0503,0.0049,-0.0045,0.0184,0.1,23.7
2019-11-12 13:40:00.000,-44.826192973999994,-65.73004640399999,28.3984,1,6,0.0125,0.0063,0.0503,0.0049,-0.0045,0.0184,-0.0,275.0
2019-11-12 13:40:00.500,-44.826191208000004,-65.73004358600001,28.3829,1,6,0.0125,0.0064,0.0503,0.0049,-0.0045,0.0184,0.1,527.7
2019-11-12 13:40:01.000,-44.826189608,-65.73003785899999,28.3891,1,6,0.0126,0.0063,0.0503,0.005,-0.0044,0.0184,-0.0,769.0
2019-11-12 13:40:01.500,-44.826187336000004,-65.730032099,28.3439,1,6,0.0125,0.0064,0.0503,0.0049,-0.0044,0.0184,0.1,999.9
2019-11-12 13:40:02.000,-44.826186116,-65.73002427899999,28.3303,1,6,0.0125,0.0063,0.0503,0.0049,-0.0044,0.0184,-0.0,999.9
2019-11-12 13:40:02.500,-44.826183987,-65.730017498,28.2571,1,6,0.0125,0.0064,0.0503,0.0049,-0.0044,0.0184,0.1,999.9
2019-11-12 13:40:03.000,-44.826182814,-65.730010037,28.2292,1,6,0.0126,0.0063,0.0502,0.005,-0.0044,0.0184,-0.0,999.9
2019-11-12 13:40:03.500,-44.826180099,-65.73000311199999,28.1645,1,6,0.0125,0.0064,0.0502,0.0049,-0.0044,0.0184,0.1,999.9
2019-11-12 13:40:04.000,-44.826178289,-65.72999537,28.0119,1,6,0.0126,0.0063,0.0502,0.005,-0.0044,0.0184,-0.0,999.9
2019-11-12 13:40:04.500,-44.82617591,-65.729987333,27.849,1,6,0.0126,0.0064,0.0502,0.0049,-0.0044,0.0184,0.1,999.9
2019-11-12 13:40:05.000,-44.826173992,-65.729978532,27.7557,1,6,0.0126,0.0064,0.0502,0.0049,-0.0044,0.0184,-0.0,999.9
2019-11-12 13:40:05.500,-44.826172252,-65.72997118100001,27.7712,1,6,0.0126,0.0063,0.0502,0.0049,-0.0043,0.0184,0.1,999.9
2019-11-12 13:40:06.000,-44.826170167,-65.729963126,27.7661,1,6,0.0126,0.0064,0.0502,0.005,-0.0043,0.0184,-0.0,999.9
2019-11-12 13:40:06.500,-44.82616873600001,-65.72995537,27.648,1,6,0.0126,0.0063,0.0502,0.0049,-0.0043,0.0184,0.1,999.9
2019-11-12 13:40:07.000,-44.826166312,-65.729947423,27.6217,1,6,0.0126,0.0063,0.0502,0.005,-0.0043,0.0184,-0.0,999.9
2019-11-12 13:40:07.500,-44.826165358999994,-65.729939641,27.5856,1,6,0.0126,0.0064,0.0502,0.005,-0.0043,0.0184,0.1,999.9
2019-11-12 13:40:08.000,-44.826163087,-65.729931917,27.6495,1,6,0.0125,0.0063,0.0502,0.0049,-0.0043,0.0184,-0.0,999.9
2019-11-12 13:40:08.500,-44.826161861,-65.729924684,27.7184,1,6,0.0126,0.0064,0.0502,0.005,-0.0043,0.0184,0.1,999.9
2019-11-12 13:40:09.000,-44.826159831999995,-65.72991812800001,27.6515,1,6,0.0126,0.0064,0.0501,0.0049,-0.0042,0.0184,-0.0,999.9
